I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2790		1906	12	3	22	59	    	100	 7.9		 7.9						MARTINIQUE		MARTINIQUE	  15.000	  -61.000	90																								
2794		1906	12	22	18	21		33	 8.3		 8.3					9	CHINA		CHINA:  XINJIANG PROVINCE	  43.500	   85.000	40	     280	3						3	2000	4			     280	3						3	2000	4		
2796		1906	12	23	17	22			 7.6						 7.6		USA	AK	ALASKA:  ALEUTIAN ISLANDS	  56.850	 -153.900	150																								
2798	Tsu	1906	12	26	6	53	 28.0	33	 7.9		 7.9						PERU		PERU:  OFF SOUTH COAST	 -18.000	  -71.000	160																								
2800	Tsu	1907	1	4	5	19	 12.0	50	 7.8		 7.8						INDONESIA		INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS	   2.000	   94.500	170								3		3		3	     400	3						3		3		
2803		1907	2	23	20	17	    	90	 7.6						 7.6		PERU		PERU	 -13.200	  -75.400	160																								
6246	Tsu	1907	3	29	20	46	 30.0	500	 7.3		 7.3						INDONESIA		INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND	   3.000	  122.000	170																								
2804	Tsu	1907	4	15	6	8	  6.0	60	 8.3		 8.3						MEXICO		MEXICO:  GUERRERO	  17.000	 -100.000	150	       8	1						2		3			       8	1						2		3		
2807		1907	4	18	20	59	 48.0		 7.6		 7.6					9	PHILIPPINES		PHILIPPINES:  SE LUZON:  CAMARINES	  14.000	  123.000	170	       2	1				1		3					       2	1				1		3				
7866		1907	4	18	23	52	  4.0		 7.4		 7.4					7	PHILIPPINES		PHILIPPINES:  SE LUZON:  CAMARINES	  13.500	  123.000	170								1												1				
2808		1907	5	4	6	51	    	60	 7.7						 7.7		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -7.500	  153.700	170																								
2810		1907	5	25	14	2	  8.0	600	 7.9		 7.9						RUSSIA		RUSSIA:  SEA OF OKHOTSK	  51.500	  147.000	50																								
2813		1907	6	25	17	54	 36.0	200	 7.9		 7.9						INDONESIA		INDONESIA:  DJAILOLO GILOLO	   1.000	  127.000	170																								
2816		1907	9	2	16	1			 7.8		 7.8	 7.3					USA	AK	ALASKA:  ALEUTIAN ISLANDS	  52.590	 -169.730	150																								
2819		1907	10	16	14	57	    	60	 7.7						 7.7		MEXICO		MEXICO:  GULF OF CALIFORNIA	  28.000	 -112.500	150																								
2821		1907	10	21	4	23	 36.0	35	 7.4		 7.4					9	TAJIKISTAN		TAJIKISTAN:   KARATAG	  38.500	   67.900	40	   12000	4						3		3			   12000	4						3		3		
6249	Tsu	1907	12	15	17	35		33	 7.4		 7.4						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -3.100	  142.500	170																				2		3		
6250	Tsu	1908	2	6				130	 7.5		 7.5						INDONESIA		SW. SUMATRA	  -2.000	  100.000	170																								
2832		1908	3	5	2	16			 7.5		 7.5						PHILIPPINES		PHILIPPINES:  MINDANAO	   9.000	  126.000	170																								
2833		1908	3	26	23	3	 30.0	80	 8.1		 8.1						MEXICO		MEXICO:  GUERRERO	  18.000	  -99.000	150								2												2				
2835		1908	3	27	3	45	 30.0		 7.5		 7.5						MEXICO		MEXICO:  GUERRERO	  17.000	 -101.000	150																								
2836		1908	5	5	6	16			 7.5		 7.5						INDONESIA		INDONESIA:  CELEBES SEA	   3.000	  123.000	170																								
2838		1908	10	23	20	14	  6.0	220	 7.0		 7.0				 7.6		AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.500	   70.500	40																								
2840		1908	11	6	7	9	 30.0	40	 7.6		 7.6						RUSSIA		RUSSIA:  KURIL ISLANDS	  45.000	  150.000	50																								
2844	Tsu	1908	12	12	12	8		33	 8.2		 8.2						PERU		PERU:  OFF COAST	 -14.000	  -78.000	160																								
2842		1908	12	12					 7.5		 7.5						MYANMAR (BURMA)		MYANMAR (BURMA):  KACHIN	  26.500	   97.000	60																								
2846	Tsu	1908	12	28	4	20	 27.0	40	 7.0	 7.0	 7.2					11	ITALY		ITALY:  MESSINA, SICILY, CALABRIA	  38.170	   15.580	130	   78000	4					     116.000	4		4			   80000	4					     116.000	4		4		
2850		1909	1	23	2	48	 18.0	33	 7.7		 7.7						IRAN		IRAN:  SILAKOR	  33.000	   50.000	140	    5500	4						2					   55004	4						2				
2856		1909	2	22	9	21	 42.0	550	 7.8		 7.8						FIJI		FIJI ISLANDS	 -18.000	 -179.000	170																								
2857	Tsu	1909	3	13	14	29		80	 7.5		 7.5						JAPAN		JAPAN:  YOKOHAMA	  34.500	  141.500	30								1												1				
2860		1909	4	10	19	36			 7.8		 7.8						USA	AK	ALASKA:  ALEUTIAN ISLANDS	  52.000	  175.000	150																								
2861		1909	4	14	19	53	 42.0		 7.3		 7.3						TAIWAN		TAIWAN:  TAIPEI	  25.000	  121.500	30	       9	1			        51	2		1	122	3			       9	1			51	2		1	122	3		
2868	Tsu	1909	6	3	18	40	 48.0	40	 7.6		 7.6						INDONESIA		INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG	  -2.000	  101.000	170		3						3		3		3		3						3		3		
2871	Tsu	1909	6	8	5	46	 30.0		 7.6		 7.6						CHILE		CHILE	 -26.500	  -70.500	160																								
2876		1909	7	7	21	37	 50.0	230	 8.1		 8.1					7	AFGHANISTAN		AFGHANISTAN:  HINDU-KUSH	  36.500	   70.500	40																								
2884	Tsu	1909	7	30	10	51	 54.0		 7.8		 7.8						MEXICO		MEXICO:  ACAPULCO	  16.800	  -99.800	150								3		3										3		3		
2889		1909	10	20	23	41	    	60	 7.2						 7.2		PAKISTAN		PAKISTAN	  30.000	   68.000	60	     231	3						2																
2893		1909	11	10	6	13	    	190	 7.9						 7.9		JAPAN		JAPAN:  KYUSHU	  32.000	  131.000	30																								
7993		1909	11	21	7	36			 7.3		 7.3						TAIWAN		TAIWAN	  24.400	  121.800	30	       4	1						1	14	1			       4	1						1	14	1		
2895		1909	12	9	23	23			 7.7						 7.7		SOLOMON ISLANDS		SOLOMON ISLANDS	 -10.000	  165.000	170																								
2894	Tsu	1909	12	9	23	28		100	 8.0						 8.0	8	USA TERRITORY	GU	GUAM	  12.500	  145.000	170								2												2				
2898		1910	1	1	11	2	    	60	 7.5		 7.5						HONDURAS		HONDURAS	  17.000	  -85.000	100																								
2900		1910	2	12	18	10	    	350	 7.4		 7.4				 7.6		JAPAN		JAPAN:  HONSHU:  S OF	  33.000	  138.500	30																								
2901		1910	4	12	0	22	 13.0	200	 7.8		 7.8						TAIWAN		TAIWAN	  25.500	  122.500	30	      60	2						1	13	1			      60	2						1	13	1		
2905		1910	5	22	6	25	    	60	 7.5						 7.5		JAPAN		JAPAN:  HOKKAIDO	  42.000	  145.000	30																								
2906		1910	6	1	5	55	    	80	 7.5						 7.5		VANUATU		VANUATU ISLANDS	 -20.000	  169.000	170																								
2909		1910	6	16	6	30	 42.0	100	 7.9	 7.9	 8.1	 7.9					VANUATU		VANUATU ISLANDS	 -19.000	  169.500	170																								
9272		1910	11	9	6	2		70	 7.9		 7.9						VANUATU		VANUATU ISLANDS:  ESPIRITU SANTO	 -16.000	  166.000	170																								
2914	Tsu	1910	11	10	12	19	 54.0	90	 7.2		 7.2						VANUATU		VANUATU ISLANDS:  ESPIRITU SANTO	 -14.000	  166.500	170								2												2				
2915		1910	11	26	4	39	    	33	 8.0		 8.0						SOLOMON ISLANDS		SOLOMON ISLANDS	  -8.000	  167.000	170																								
2916		1910	12	13	11	37	 24.0		 7.3		 7.3						ZAMBIA		ZAMBIA	  -8.000	   31.000	10	       2	1						2																
2917		1910	12	16	14	45			 7.5		 7.5						INDONESIA		INDONESIA:  TALAUD ISLANDS	   4.500	  126.000	170																								
2919		1911	1	3	23	25	 45.0	25	 7.7	 7.7	 8.4					10	KAZAKHSTAN		KAZAKHSTAN:  ALMA-ATA, TURKESTAN	  43.500	   77.500	40	     450	3						3					     450	3						3				
7868		1911	2	18	18	41	 14.0	26	 7.4		 7.4						TAJIKISTAN		TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR	  38.200	   72.800	40	      90	2						3		3		3	      90	2						3		3		
2928		1911	5	4	23	36	 48.0	240	 7.6		 7.6					7	RUSSIA		RUSSIA:  NEAR KAMCHATKA	  51.800	  156.000	50																								
2932		1911	6	7	11	2	 42.0	11	 7.9		 7.9						MEXICO		MEXICO:  MICHOACAN	  17.500	 -102.500	150	      45	1			        22	1							      45	1			22	1						
2935	Tsu	1911	6	15	14	26		160	 8.0		 8.0						JAPAN		JAPAN:  RYUKYU ISLANDS	  28.000	  130.000	30	      12	1						3	422	3			      12	1						3	422	3		
2936		1911	7	4	13	33	 26.0	190	 7.6		 7.6						AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.000	   70.500	40																								
2940	Tsu	1911	7	12	4	7	 36.0	50	 7.8		 7.8					10	PHILIPPINES		PHILIPPINES:  MINDANAO:  TALACOGON,DAVAO,BUTUAN	   9.000	  126.000	170								3				3								3				3
2943		1911	8	16	22	41	 18.0	17	 7.7	 7.7	 7.7						MICRONESIA, FED. STATES OF		MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	   7.000	  137.000	170																								
6256	Tsu	1911	9	15	13	10			 7.3		 7.3						CHILE		CHILE:  NORTHERN	 -20.000	  -72.000	160																								
2946		1911	12	16	19	14		50	 7.6		 7.6					4	MEXICO		MEXICO:  NEAR COAST OF GUERRERO	  17.000	 -100.700	150																								
2948		1912	1	24	16	23	    	60	 7.0						 7.0	10	GREECE		GREECE:  ASPROGERAKAS (KEPHALLENIA)	  38.000	   20.500	130		2																						
2949		1912	5	6	18	59	    	60	 7.5						 7.5	11	ICELAND		ICELAND	  64.000	  -20.000	120																								
